,title,date,n_reply,url
26,"송영길 “尹, RE100 모른다? 에너지전환 무관심이 문제”",2022.02.05. 오후 1:44,735,https://n.news.naver.com/mnews/article/023/0003670655?sid=100
27,"靑, 하루에만 세 번 반박 입장…원전 말바꾸기 적극 대응",2022.03.02. 오후 4:20,718,https://n.news.naver.com/mnews/article/016/0001958548?sid=100
28,윤석열 “무너진 한미동맹 재건…굴종 아닌 힘에 의한 평화 추구”,2022.01.24. 오전 11:47,709,https://n.news.naver.com/mnews/article/023/0003668325?sid=100
29,[전문]윤석열 “아이 태어나면 1년간 월 100만원…전국민 부모급여 도입”,2022.01.11. 오전 10:56,707,https://n.news.naver.com/mnews/article/016/0001935887?sid=100
30,[전문]이재명 더불어민주당 대선 후보 수락 연설문,2021.10.10. 오후 6:30,704,https://n.news.naver.com/mnews/article/003/0010761526?sid=100
31,"이재명, RE100 공방에 ""국민들이 많은 관심 갖게 돼 다행""",2022.02.05. 오후 1:23,700,https://n.news.naver.com/mnews/article/009/0004917769?sid=100
32,나랏빚 1075조·한전 적자 30조…文정부 '업보'가 안긴 역설,2022.07.30. 오전 9:00,689,https://n.news.naver.com/mnews/article/008/0004777205?sid=104
33,"이재명 ""추경, 설前 30조 목표…요청하면 정부 거부이유 없어""(종합)",2022.01.04. 오후 12:40,676,https://n.news.naver.com/mnews/article/001/0012896609?sid=100
34,"중앙 중심 에너지 정책에 묻힌 지역 주민들의 삶 [탄소중립 제주, 미리 가 본 미래 ②]",2022.01.06. 오전 6:01,667,https://n.news.naver.com/mnews/article/032/0003120858?sid=102
35,"""준비된 李"" ""지도자 면모 尹""…첫 토론 자화자찬 '뒤끝 공방'",2022.02.04. 오전 11:29,664,https://n.news.naver.com/mnews/article/001/0012957585?sid=100
36,"이재명, 대대적 당 개혁 예고...""이재명의 민주당으로""",2021.11.20. 오후 9:52,652,https://n.news.naver.com/mnews/article/052/0001667558?sid=100
37,"문대통령 ""명실상부한 선진국으로 인정받아…국민 피땀의 성과""",2021.07.06. 오전 11:16,643,https://n.news.naver.com/mnews/article/001/0012506230?sid=100
38,"이재명 ""국민 대도약 시대…국력 세계 5위·국민소득 5만 달러""",2022.01.04. 오전 10:31,635,https://n.news.naver.com/mnews/article/001/0012896144?sid=100
39,"윤 대통령의 위험천만한 주문... ""바보같은 짓"" 그만 두라",2022.06.24. 오후 7:02,629,https://n.news.naver.com/mnews/article/047/0002357729?sid=102
40,"尹 ""아이 태어나면 1년간 월100만원""…1천200만원 부모급여 공약",2022.01.11. 오전 10:21,625,https://n.news.naver.com/mnews/article/001/0012909919?sid=100
41,"윤석열, 생방송 중 1분 넘게 '멀뚱멀뚱' 방송사고",2021.11.22. 오후 4:12,619,https://n.news.naver.com/mnews/article/088/0000732209?sid=100
42,바이든도 “원전은 무공해”…한국만 ‘탈원전 역주행’,2021.12.10. 오후 7:45,599,https://n.news.naver.com/mnews/article/449/0000219170?sid=104
43,"文대통령 ""명실상부 선진국 인정…국민 피땀으로 이룬 성과""",2021.07.06. 오전 11:33,597,https://n.news.naver.com/mnews/article/448/0000333109?sid=100
44,"이준석 “‘태양광 그늘막’ 이재명 공약, 中 업체 위한 것”…與 “李 대표 전기차도 친중?”",2022.02.01. 오후 10:02,594,https://n.news.naver.com/mnews/article/022/0003662937?sid=100
45,"""EU 뭐란 걸 들어 본 적이""…TV토론서 확인된 윤석열의 부실한 '원전 확대론'",2022.02.04. 오후 6:45,593,https://n.news.naver.com/mnews/article/002/0002229813?sid=102
46,"[팩트체크] 윤석열 “독, 원전 많은 프랑스서 전기 수입” 진실은?",2022.02.08. 오전 9:31,582,https://n.news.naver.com/mnews/article/028/0002578291?sid=102
47,"""尹대통령, '文 탈원전이 바보짓'이면 전세계가 바보냐""",2022.06.22. 오후 5:47,582,https://n.news.naver.com/mnews/article/088/0000763551?sid=100
48,'탈원전 탓'으로 지지도 올리려던 윤석열·최재형 '아뿔싸',2021.08.07. 오후 5:56,580,https://n.news.naver.com/mnews/article/047/0002322564?sid=102
49,"월성 폐쇄 공소장을 보니, 산업부는 발버둥치고 있었다 [한삼희의 환경칼럼]",2021.12.29. 오전 12:01,579,https://n.news.naver.com/mnews/article/023/0003662677?sid=110
50,"[현장영상+] 이재명, 국회에서 당 대표 출마 선언...""이기는 민주당""",2022.07.17. 오후 2:08,578,https://n.news.naver.com/mnews/article/052/0001765090?sid=100
51,탈원전 중에도…'원전 기술개발 메카' 짓는 文정부,2021.07.21. 오후 6:47,574,https://n.news.naver.com/mnews/article/119/0002513260?sid=101
52,[영상]尹 ‘신천지·무속 논란’ 반복에…보살도 목회자도 “이재명 지지”,2022.02.19. 오전 6:32,571,https://n.news.naver.com/mnews/article/016/0001953180?sid=100
53,“전기차 450만대” 정부 급가속… 국내 자동차업계는 ‘발등의 불’,2021.10.26. 오전 3:03,570,https://n.news.naver.com/mnews/article/023/0003648616?sid=103
54,"靑, '원전 없는 탄소중립' 논란에 ""탈원전 기조 변함없다""",2021.11.04. 오후 2:25,569,https://n.news.naver.com/mnews/article/001/0012770364?sid=100
