,title,date,n_reply,url
36,"낡은 MB노믹스 재탕…윤석열 정부, 재벌·부자 감세 시동",2022.06.16. 오후 2:09,346,https://n.news.naver.com/mnews/article/028/0002594918?sid=101
37,문 대통령 “향후 60년 동안 원전 주력으로 충분히 활용해야”,2022.02.25. 오후 7:31,343,https://n.news.naver.com/mnews/article/022/0003670969?sid=100
38,국민의힘 “이재명 ‘대장동’엔 동문서답… ‘장학퀴즈’성 질문만”,2022.02.04. 오전 10:02,336,https://n.news.naver.com/mnews/article/022/0003663624?sid=100
39,"이재명, '이재노믹스' 공개... ""4대 대전환으로 세계 5강 경제 대국”",2022.01.11. 오후 1:26,333,https://n.news.naver.com/mnews/article/469/0000651988?sid=100
40,"이재명 ""국민소득 5만불"" vs 윤석열 ""연 1200만원 부모급여""",2022.01.11. 오후 10:00,329,https://n.news.naver.com/mnews/article/003/0010939231?sid=100
41,"이재명 ""상공인·자영업자 100조원 추가 지원해도 타국에 못미쳐…설 연휴 전 추경 25조~30조원 목표""",2022.01.04. 오전 11:13,320,https://n.news.naver.com/mnews/article/087/0000876168?sid=100
42,"[전문] 문대통령, 제76주년 광복절 경축사",2021.08.15. 오전 10:51,312,https://n.news.naver.com/mnews/article/001/0012599803?sid=100
43,"""尹, 평생 남 뒷조사나 해""…민주, 또 검사 비하 발언",2022.06.23. 오후 10:10,308,https://n.news.naver.com/mnews/article/011/0004068684?sid=100
44,코로나 확진 송영길 “독감보다 약해…위드코로나 통로 될 수 있겠다”,2022.02.05. 오후 12:19,306,https://n.news.naver.com/mnews/article/366/0000791575?sid=100
45,文의 뜬금없는 원전 회귀 발언이 노리는 것,2022.03.07. 오후 4:48,302,https://n.news.naver.com/mnews/article/053/0000030729?sid=105
46,"尹·민주당, 文 탈원전 정책 두고 기싸움…""전세계가 바보냐""",2022.06.22. 오후 6:02,300,https://n.news.naver.com/mnews/article/015/0004715004?sid=100
47,"문 대통령 대선 향해 ""증오·분열 아닌 희망·통합 선거 돼야"" [신년사 전문]",2022.01.03. 오전 10:30,297,https://n.news.naver.com/mnews/article/469/0000650458?sid=100
48,"尹정부, '탈원전 폐기' 공식화 ""원전 비중 30% 이상으로 확대""",2022.07.05. 오후 3:27,296,https://n.news.naver.com/mnews/article/088/0000765241?sid=100
49,"尹 ""원전수사 외압에 사퇴""→조국 ""누가 어떤 압력인지 밝혀라""",2021.07.07. 오전 7:03,293,https://n.news.naver.com/mnews/article/008/0004612499?sid=100
50,"""중국, 탄소배출 감축 위해 원전 최소 150기 짓는다""",2021.11.04. 오전 5:48,292,https://n.news.naver.com/mnews/article/422/0000512345?sid=104
51,"이재명 ""文정권 신한울3·4 중단고수? 벽창호""에 ""덫에 빠지는길""",2021.12.11. 오후 7:08,290,https://n.news.naver.com/mnews/article/006/0000110885?sid=100
52,세계 유일 에너지공대 문 연다...1년에 110명 '초엘리트' 육성,2021.09.03. 오전 5:30,287,https://n.news.naver.com/mnews/article/008/0004640281?sid=101
53,[노컷체크]文대통령은 과연 '탈원전'을 번복한 걸까?,2022.03.01. 오전 5:02,283,https://n.news.naver.com/mnews/article/079/0003615114?sid=101
54,"文 “신한울 조속히 정상가동…원전, 향후 60년 주력 전원”(종합)",2022.02.25. 오후 7:07,279,https://n.news.naver.com/mnews/article/081/0003254443?sid=100
55,"문 대통령 ""원전, 향후 60년 주력 전원""…원전株 '상한가'",2022.02.28. 오후 4:22,277,https://n.news.naver.com/mnews/article/008/0004714166?sid=101
56,"野 혼란 틈타…이재명, '기본시리즈' 다시 쓱~",2022.01.06. 오후 6:34,270,https://n.news.naver.com/mnews/article/022/0003655029?sid=100
57,이재명 “국힘 화천대유 게이트…부패 기득권과 최후대첩”[전문],2021.10.10. 오후 7:23,263,https://n.news.naver.com/mnews/article/016/0001897438?sid=100
58,한전은 어쩌다 이렇게 됐나,2022.06.17. 오전 10:02,263,https://n.news.naver.com/mnews/article/262/0000015635?sid=101
59,"""민주당 석패? 참패다... 여성할당제밖에 답 없다""",2022.04.01. 오전 6:10,262,https://n.news.naver.com/mnews/article/047/0002347734?sid=100
60,원전 비중 2030년까지 30% 이상으로 확대…전기요금 원가주의 확립,2022.07.05. 오전 11:07,258,https://n.news.naver.com/mnews/article/055/0000983880?sid=101
61,"이준석 “민주당·정의당, 태양광 세 글자에 왜 눈 뒤집히나”",2022.02.02. 오후 12:11,256,https://n.news.naver.com/mnews/article/366/0000790965?sid=100
62,"유럽 에너지 위기에도…金총리 “남북러 가스관 사업, 계속 추진돼야”",2022.02.22. 오후 7:31,253,https://n.news.naver.com/mnews/article/366/0000795364?sid=100
63,"文 대통령 '원전 내로남불' 논란에…靑 ""외국과 윈윈 방안"" 엄호",2021.11.04. 오후 5:02,249,https://n.news.naver.com/mnews/article/088/0000729427?sid=100
64,李 “135조 디지털전환 투자로 일자리 200만개” 성장에 초점,2022.01.12. 오전 3:02,246,https://n.news.naver.com/mnews/article/020/0003405152?sid=100
65,"[단독]백운규 前 장관, 탈원전 반대 이관섭 교체 지시했다",2021.08.23. 오전 11:31,244,https://n.news.naver.com/mnews/article/021/0002482712?sid=102
66,"'유사시 日개입' 윤석열 비판한 靑 ""일본은 군사동맹 아냐""",2022.03.01. 오후 9:46,242,https://n.news.naver.com/mnews/article/008/0004714546?sid=100
67,원전이 주력이라는 文…운영연장은 모르쇠,2022.02.27. 오후 6:07,241,https://n.news.naver.com/mnews/article/009/0004927780?sid=101
