,title,date,n_reply,url
0,"文 ""원전, 60년 주력 전원…신한울 1·2호기 이른시간 내 가동""(종합2보)",2022.02.25. 오후 8:13,999,https://n.news.naver.com/mnews/article/001/0013014070?sid=100
1,與 “원자력 소외된 아픔 드린 것 사과”… 원전 전문가도 영입,2022.01.27. 오후 4:21,979,https://n.news.naver.com/mnews/article/023/0003669174?sid=100
2,[이재명 인터뷰]“성장해야 진짜 공정 가능… 대기업-中企관계 조정 필요”,2021.07.15. 오전 3:02,942,https://n.news.naver.com/mnews/article/020/0003370238?sid=100
3,"권성동, '문재인'만 16차례 언급…""민생고통 주범은 文""[전문]",2022.07.21. 오전 10:44,905,https://n.news.naver.com/mnews/article/018/0005273446?sid=100
4,"[현장영상+] 이재명 ""진짜 위기는 대선 이후...나는 준비된 대통령""",2022.01.26. 오전 9:09,886,https://n.news.naver.com/mnews/article/052/0001694277?sid=100
5,헝가리 이어 체코 정상도…문대통령 앞에서 연이은 원전발언(종합),2021.11.05. 오전 1:32,874,https://n.news.naver.com/mnews/article/001/0012771818?sid=100
6,"'RE100' 공방전... 李 ""모른다고 상상하지 못해"", 尹 ""어려운 거 설명해야 예의""",2022.02.04. 오후 9:02,790,https://n.news.naver.com/mnews/article/469/0000656329?sid=100
7,"[현장영상] '이재명 ""유한기 사망, 안타까운 일...몸통 놔두고 엉뚱한 데 건드려""",2021.12.10. 오후 3:00,753,https://n.news.naver.com/mnews/article/052/0001675628?sid=154
8,"박홍근 “윤석열 대통령, 권력 사유화 대가 치를 것”",2022.07.20. 오전 10:45,745,https://n.news.naver.com/mnews/article/028/0002599304?sid=100
9,"靑, 하루에만 세 번 반박 입장…원전 말바꾸기 적극 대응",2022.03.02. 오후 4:20,718,https://n.news.naver.com/mnews/article/016/0001958548?sid=100
10,[전문]이재명 더불어민주당 대선 후보 수락 연설문,2021.10.10. 오후 6:30,704,https://n.news.naver.com/mnews/article/003/0010761526?sid=100
11,"이재명 ""추경, 설前 30조 목표…요청하면 정부 거부이유 없어""(종합)",2022.01.04. 오후 12:40,676,https://n.news.naver.com/mnews/article/001/0012896609?sid=100
12,"이재명, 대대적 당 개혁 예고...""이재명의 민주당으로""",2021.11.20. 오후 9:52,652,https://n.news.naver.com/mnews/article/052/0001667558?sid=100
