,title,date,n_reply,url
0,원전 확대·4대강사업 계승…MB 시절 사회갈등 되풀이하나,2022.03.15. 오전 5:01,984,https://n.news.naver.com/mnews/article/028/0002582834?sid=102
1,"탈원전에 3~5년 늦어진 원전… 文대통령, 이제와서 “조기가동”",2022.02.25. 오후 6:37,948,https://n.news.naver.com/mnews/article/366/0000796174?sid=101
2,[사설] 시작도 안 한 ‘탈원전’이 어떻게 ‘전력 대란’ 일으키나,2021.08.02. 오후 6:28,921,https://n.news.naver.com/mnews/article/028/0002555161?sid=110
3,홍진경 “정부가 그렇게 돈이 많아요?” 이재명 “돈이 많은 게 정부”,2022.02.12. 오후 1:39,896,https://n.news.naver.com/mnews/article/366/0000793256?sid=100
4,"[신년 인터뷰①] 반기문 ""文정권, 前대통령 감옥 보낸 건 치명적 잘못""",2022.01.01. 오전 4:00,875,https://n.news.naver.com/mnews/article/003/0010920893?sid=100
5,대통령 탄핵 경고 날린 박홍근 “권력 사유화 반드시 대가 치른다”,2022.07.20. 오후 6:48,823,https://n.news.naver.com/mnews/article/081/0003288737?sid=100
6,"與 대선후보 이재명 ""부동산 불로소득 공화국 척결하겠다""",2021.10.10. 오후 6:28,755,https://n.news.naver.com/mnews/article/469/0000634188?sid=100
7,"문대통령, 에너지공급망 회의…""원전, 향후 60년 주력 전원""(종합)",2022.02.25. 오후 6:18,747,https://n.news.naver.com/mnews/article/001/0013013964?sid=100
8,"송영길 “尹, RE100 모른다? 에너지전환 무관심이 문제”",2022.02.05. 오후 1:44,735,https://n.news.naver.com/mnews/article/023/0003670655?sid=100
9,[전문]윤석열 “아이 태어나면 1년간 월 100만원…전국민 부모급여 도입”,2022.01.11. 오전 10:56,707,https://n.news.naver.com/mnews/article/016/0001935887?sid=100
10,나랏빚 1075조·한전 적자 30조…文정부 '업보'가 안긴 역설,2022.07.30. 오전 9:00,689,https://n.news.naver.com/mnews/article/008/0004777205?sid=104
11,"""준비된 李"" ""지도자 면모 尹""…첫 토론 자화자찬 '뒤끝 공방'",2022.02.04. 오전 11:29,664,https://n.news.naver.com/mnews/article/001/0012957585?sid=100
12,"이재명 ""국민 대도약 시대…국력 세계 5위·국민소득 5만 달러""",2022.01.04. 오전 10:31,635,https://n.news.naver.com/mnews/article/001/0012896144?sid=100
